紅2	44	46
	社后消防隊	去	25.065333,121.631000
	世電社區	去	25.066237,121.631083
	北峰里	去	25.067333,121.630000
	金龍國小	去	25.067350,121.626383
	木楠煤礦	去	25.067350,121.625380
	經貿園區	去	25.066592,121.621926
	北山里	去	25.066667,121.618333
	東湖國小	去	25.067833,121.616667
	五分社區	去	25.068667,121.615000
	明湖國中	去	25.069833,121.611667
	明湖國小(公共電視台)	去	25.071667,121.610000
	捷運葫洲站(康寧專校)	去	25.072667,121.606667
	康寧醫院	去	25.075000,121.606667
	黃石公廟	去	25.077833,121.606667
	大湖公園	去	25.082167,121.606667
	捷運大湖公園站	去	25.083167,121.603333
	大湖	去	25.084795,121.600427
	金龍里	去	25.084490,121.598305
	捷運內湖站	去	25.083500,121.593842
	湖光市場	去	25.082000,121.591667
	成功路三段	去	25.080333,121.590000
	內湖高中	去	25.079167,121.588333
	捷運文德站(碧湖公園)	去	25.078833,121.583433
	湖光國宅	去	25.078500,121.580000
	西湖圖書館(湖光教會)	去	25.079000,121.578333
	捷運港墘站(內湖高工)	去	25.079667,121.576667
	麗山國中	去	25.080558,121.573895
	麗山街	去	25.081167,121.571667
	恕德家商	去	25.082000,121.568333
	捷運西湖站	去	25.082167,121.566667
	治磐新村	去	25.082833,121.565000
	文湖國小	去	25.084333,121.561667
	美麗華	去	25.084833,121.558333
	捷運劍南路站	去	25.085093,121.555438
	自強隧道	去	25.084167,121.550000
	植福宮	去	25.081333,121.548333
	捷運大直站	去	25.079918,121.546338
	大直高中	去	25.079833,121.543333
	空軍司令部	去	25.079667,121.540000
	忠烈祠	去	25.078333,121.531667
	中央電台	去	25.078167,121.530000
	圓山大飯店	去	25.077333,121.528333
	臺北市立美術館	去	25.069383,121.523000
	捷運圓山站	去	25.069322,121.520162
	臺北市立美術館	返	25.072917,121.524200
	圓山大飯店	返	25.077333,121.528333
	中央電台	返	25.078167,121.530000
	忠烈祠	返	25.078333,121.531667
	七海文化園區	返	25.077990,121.535330
	空軍司令部	返	25.079500,121.540000
	大直高中	返	25.079667,121.541667
	大直國小	返	25.080035,121.545525
	捷運大直站	返	25.080248,121.547902
	植福宮	返	25.081667,121.548333
	自強隧道(大直教會)	返	25.083667,121.548333
	自強隧道	返	25.085833,121.551667
	捷運劍南路站	返	25.084723,121.555548
	美麗華	返	25.084667,121.558333
	文湖國小	返	25.084333,121.561667
	治磐新村	返	25.083167,121.563333
	捷運西湖站	返	25.082333,121.566667
	恕德家商	返	25.082000,121.568333
	麗山街	返	25.081500,121.571667
	捷運港墘站(內湖高工)	返	25.080245,121.574563
	西湖圖書館(湖光教會)	返	25.079000,121.578333
	湖光國宅	返	25.078833,121.581667
	捷運文德站(碧湖公園)	返	25.078833,121.583333
	內湖高中	返	25.078833,121.586667
	成功路三段	返	25.079833,121.590000
	湖光市場	返	25.081500,121.591667
	捷運內湖站	返	25.083500,121.593333
	秀湖	返	25.084490,121.598305
	大湖	返	25.084617,121.600118
	捷運大湖公園站	返	25.083333,121.603333
	大湖公園	返	25.082167,121.606667
	黃石公廟	返	25.077833,121.606667
	康寧醫院	返	25.076000,121.606667
	康寧社區	返	25.074500,121.606667
	捷運葫洲站(康寧專校)	返	25.072372,121.607662
	明湖國小	返	25.071667,121.610000
	明湖國中	返	25.070333,121.611667
	五分社區	返	25.068667,121.615000
	東湖國小	返	25.068167,121.616667
	北山里	返	25.067000,121.618333
	經貿園區	返	25.066710,121.622159
	木楠煤礦	返	25.067000,121.625000
	金龍國小	返	25.067350,121.622367
	北峰里	返	25.067500,121.628333
	世電社區	返	25.066000,121.631000
	社后消防隊	返	25.065067,121.629700
紅3	41	37
	社子站	去	25.091790,121.500100
	社子國小二	去	25.090242,121.501583
	社子國小	去	25.089642,121.502883
	社新里	去	25.089242,121.504083
	社子派出所	去	25.089508,121.505667
	社子市場二	去	25.088967,121.507817
	社子市場	去	25.087925,121.508667
	葫蘆寺	去	25.085620,121.509427
	葫東重慶路口	去	25.084350,121.511960
	陽明高中	去	25.091238,121.517081
	士林區行政中心(中正)	去	25.092838,121.519435
	士林國中	去	25.094803,121.523351
	捷運士林站(中正)	去	25.095106,121.525333
	捷運士林站(中山)	去	25.093040,121.527730
	台電台北北區營業處	去	25.090716,121.527580
	銘傳大學	去	25.087720,121.527190
	捷運劍潭站(中山)	去	25.085430,121.525420
	劍潭	去	25.080810,121.524630
	圓山大飯店	去	25.077200,121.528080
	中央電台	去	25.078080,121.530160
	忠烈祠	去	25.078079,121.533440
	七海文化園區	去	25.077990,121.535330
	空軍司令部	去	25.079570,121.540680
	大直高中	去	25.079490,121.542550
	大直國小	去	25.079660,121.545220
	捷運大直站	去	25.079828,121.546852
	植福宮	去	25.081130,121.548580
	自強隧道(大直教會)	去	25.083632,121.549061
	自強隧道	去	25.085880,121.551945
	捷運劍南路站	去	25.084814,121.555567
	敬業三路一	去	25.082707,121.556289
	敬業三路二	去	25.081000,121.556218
	基河二期國宅三	去	25.079873,121.556665
	基河二期國宅一	去	25.079853,121.559040
	濱江國中	去	25.079834,121.559960
	治磐新村	去	25.082970,121.563860
	內湖基湖路口	去	25.081850,121.565257
	基湖路口	去	25.080249,121.566195
	仁寶大樓	去	25.079213,121.568497
	瑞光港墘路口	去	25.077016,121.573392
	瑞光路	去	25.074631,121.577663
	瑞陽三號公園	返	25.074830,121.581700
	文德二號公園	返	25.076670,121.583390
	湖光國宅	返	25.078590,121.580780
	西湖圖書館(湖光教會)	返	25.078989,121.577803
	港墘派出所	返	25.078636,121.576190
	瑞光港墘路口	返	25.077297,121.573107
	仁寶大樓	返	25.079213,121.568497
	基湖路口	返	25.080486,121.566049
	基湖站	返	25.079731,121.564607
	濱江國中	返	25.079991,121.561247
	基河二期國宅一	返	25.080018,121.559048
	基河二期國宅二	返	25.080035,121.557530
	敬業三路二	返	25.080713,121.556434
	敬業三路一	返	25.082706,121.556390
	捷運劍南路站	返	25.085163,121.555001
	自強隧道	返	25.086000,121.552000
	植福宮	返	25.081340,121.548540
	捷運大直站	返	25.079961,121.546951
	大直高中	返	25.079670,121.544210
	空軍司令部	返	25.079370,121.540220
	忠烈祠	返	25.078010,121.531840
	中央電台	返	25.077920,121.529860
	圓山大飯店	返	25.077200,121.528080
	劍潭	返	25.080858,121.524175
	捷運劍潭站(基河)	返	25.084849,121.524748
	小北街	返	25.090960,121.526830
	士林區農會	返	25.093022,121.525506
	士林國中	返	25.094668,121.523382
	士林區行政中心(中正)	返	25.093699,121.520285
	陽明高中	返	25.092030,121.517840
	社子市場	返	25.087325,121.509058
	社園里	返	25.088792,121.508058
