紅13	38	36
	八仙樂園	去	25.141980,121.390700
	廈竹圍	去	25.143970,121.393700
	土地公廟	去	25.054470,121.596082
	八里	去	25.146930,121.398400
	舊城里	去	25.147720,121.400200
	八里區公所	去	25.148590,121.401800
	八里服務站	去	25.148910,121.402900
	八里國小	去	25.149840,121.404300
	中廣公司	去	25.151865,121.405474
	山海觀	去	25.152950,121.406100
	仁愛街口	去	25.091833,121.471667
	田心(十三行博物館)	去	25.155890,121.408600
	十三行博物館	去	
	八里污水處理廠	去	
	十三行文化公園	去	
	挖子尾自然保留區	去	
	雷朗園區	去	
	水興公	去	
	左岸公園左岸碼頭	去	
	下街仔	去	25.158390,121.431400
	渡船頭	去	25.158230,121.434100
	水雲山莊	去	25.155770,121.436900
	米倉里	去	25.153630,121.440000
	觀音路口	去	25.149790,121.443400
	米倉國小	去	25.147650,121.445200
	米倉國小一	去	
	聖心別墅	去	25.144380,121.446500
	烏山頭	去	25.141230,121.447700
	張厝	去	25.098112,121.418288
	聖心女中	去	25.135280,121.450100
	龍形	去	25.132900,121.451100
	大福社區	去	25.130360,121.451300
	艋舺橋(臨時站)	去	25.129290,121.451600
	艋舺橋	去	25.127460,121.452000
	關渡大橋	去	25.126790,121.452000
	關渡	去	25.125633,121.465533
	慈濟志業中心	去	
	捷運關渡站	去	25.124400,121.467267
	關渡	返	25.125633,121.465533
	關渡大橋	返	25.126790,121.452000
	艋舺橋	返	25.127460,121.452000
	大福社區	返	25.130360,121.451300
	龍形	返	25.132900,121.451100
	聖心女中	返	25.135280,121.450100
	張厝	返	25.098112,121.418288
	烏山頭	返	25.141230,121.447700
	聖心別墅	返	25.144380,121.446500
	米倉國小一	返	
	米倉國小	返	25.147650,121.445200
	觀音路口	返	25.149790,121.443400
	米倉里	返	25.153630,121.440000
	水雲山莊	返	25.155770,121.436900
	渡船頭	返	25.158230,121.434100
	下街仔	返	25.158390,121.431400
	左岸公園左岸碼頭	返	
	水興公	返	
	雷朗園區	返	
	挖子尾自然保留區	返	
	十三行文化公園	返	
	八里污水處理廠	返	
	十三行博物館	返	
	田心(十三行博物館)	返	25.155890,121.408600
	仁愛街口	返	25.091833,121.471667
	山海觀	返	25.152950,121.406100
	中廣公司	返	25.151865,121.405474
	八里國小	返	25.149840,121.404300
	八里服務站	返	25.148910,121.402900
	八里區公所	返	25.148590,121.401800
	舊城里	返	25.147720,121.400200
	八里	返	25.146930,121.398400
	土地公廟	返	25.054470,121.596082
	廈竹圍	返	25.143970,121.393700
	八仙橋頭	返	25.142940,121.391900
	八仙樂園	返	25.141980,121.390700
